name,pos,mean,cost,team
Curtis Granderson,OF,6.1483,2500.0,NYM
Ben Revere,OF,5.66926666667,3400.0,WAS
Brandon Nimmo,OF,4.12906666667,2200.0,NYM
Asdrubal Cabrera,SS,4.622,2500.0,NYM
Yoenis Cespedes,OF,6.2849,3300.0,NYM
Ryan Zimmerman,1B,5.52986666667,2500.0,WAS
Travis d'Arnaud,C,5.13466666667,2500.0,NYM
Neil Walker,2B,5.36906666667,2700.0,NYM
Wilson Ramos,C,6.17443333333,3200.0,WAS
Danny Espinosa,SS,4.7891,2200.0,WAS
Jayson Werth,OF,6.2759,2200.0,WAS
Jose Reyes,3B,5.06743333333,3000.0,NYM
Bryce Harper,OF,9.63416666667,3400.0,WAS
Stephen Strasburg,P,43.1396666667,10700.0,WAS
Noah Syndergaard,P,40.019,10800.0,NYM
